symbol,name,index_code,index_name,as_of_date,exchange
000012,南  玻A,000852,中证1000,2026-04-28,深圳证券交易所
000019,深粮控股,000852,中证1000,2026-04-28,深圳证券交易所
000028,国药一致,000852,中证1000,2026-04-28,深圳证券交易所
000029,深深房A,000852,中证1000,2026-04-28,深圳证券交易所
000030,富奥股份,000852,中证1000,2026-04-28,深圳证券交易所
000035,中国天楹,000852,中证1000,2026-04-28,深圳证券交易所
000048,京基智农,000852,中证1000,2026-04-28,深圳证券交易所
000049,德赛电池,000852,中证1000,2026-04-28,深圳证券交易所
000058,深赛格,000852,中证1000,2026-04-28,深圳证券交易所
000059,华锦股份,000852,中证1000,2026-04-28,深圳证券交易所
000061,农 产 品,000852,中证1000,2026-04-28,深圳证券交易所
000065,北方国际,000852,中证1000,2026-04-28,深圳证券交易所
000089,深圳机场,000852,中证1000,2026-04-28,深圳证券交易所
000099,中信海直,000852,中证1000,2026-04-28,深圳证券交易所
000156,华数传媒,000852,中证1000,2026-04-28,深圳证券交易所
000403,派林生物,000852,中证1000,2026-04-28,深圳证券交易所
000420,吉林化纤,000852,中证1000,2026-04-28,深圳证券交易所
000422,湖北宜化,000852,中证1000,2026-04-28,深圳证券交易所
000498,山东路桥,000852,中证1000,2026-04-28,深圳证券交易所
000503,国新健康,000852,中证1000,2026-04-28,深圳证券交易所
000543,皖能电力,000852,中证1000,2026-04-28,深圳证券交易所
000550,江铃汽车,000852,中证1000,2026-04-28,深圳证券交易所
000552,甘肃能化,000852,中证1000,2026-04-28,深圳证券交易所
000555,神州信息,000852,中证1000,2026-04-28,深圳证券交易所
000557,西部创业,000852,中证1000,2026-04-28,深圳证券交易所
000567,海德股份,000852,中证1000,2026-04-28,深圳证券交易所
000581,威孚高科,000852,中证1000,2026-04-28,深圳证券交易所
000589,贵州轮胎,000852,中证1000,2026-04-28,深圳证券交易所
000597,东北制药,000852,中证1000,2026-04-28,深圳证券交易所
000600,建投能源,000852,中证1000,2026-04-28,深圳证券交易所
000603,盛达资源,000852,中证1000,2026-04-28,深圳证券交易所
000612,焦作万方,000852,中证1000,2026-04-28,深圳证券交易所
000620,盈新发展,000852,中证1000,2026-04-28,深圳证券交易所
000628,高新发展,000852,中证1000,2026-04-28,深圳证券交易所
000636,风华高科,000852,中证1000,2026-04-28,深圳证券交易所
000650,仁和药业,000852,中证1000,2026-04-28,深圳证券交易所
000672,上峰水泥,000852,中证1000,2026-04-28,深圳证券交易所
000676,智度股份,000852,中证1000,2026-04-28,深圳证券交易所
000680,山推股份,000852,中证1000,2026-04-28,深圳证券交易所
000681,视觉中国,000852,中证1000,2026-04-28,深圳证券交易所
000682,东方电子,000852,中证1000,2026-04-28,深圳证券交易所
